index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
1	5	1332.15	可以	可以	kěyǐ	khả dĩ	có thể/khả dĩ/có khả năng/có năng lực/cho phép/được phép/tốt/giỏi/hay/lợi hại/ghê hồn/cừ khôi/ghê gớm
2	8	1106.78	中国	中國	zhōngguó	trung quốc	Trung Quốc/Trung Hoa Trung Quốc/China/nước cộng hoà nhân dân Trung Hoa
3	13	916.48	现在	現在	xiànzài	hiện tại	hiện tại/hiện nay/bây giờ
4	16	831.2	时间	時間	shíjiān	thời gian	thời gian/giờ/khoảng thời gian/thời điểm
5	18	775.81	问题	問題	wèntí	vấn đề	vấn đề/câu hỏi/đề hỏi/quan trọng/mấu chốt/chuyện/trở ngại/trắc trở
6	20	734.66	工作	工作	gōngzuò	công tác	công tác/làm việc/việc làm/nghề nghiệp/công việc/nhiệm vụ/nghiệp vụ
7	23	621.34	学生	學生	xuéshēng	học sinh	đệ tử/học sinh/học trò/con trai
8	24	601.9	所以	所以	suǒyǐ	sở dĩ	cho nên/sở dĩ/đó là lí do mà/nguyên cớ/vì sao/nguyên do
9	31	568.4	生活	生活	shēnghuó	sinh hoạt	cuộc sống/sinh hoạt/đời sống/sinh tồn/tồn tại/mức sống/việc/công việc
10	36	523.07	大家	大家	dàjiā	đại gia	mọi người/đại gia/chuyên gia/người nổi tiếng/bậc thầy/họ lớn/thế gia vọng tộc
11	37	517.6	可能	可能	kěnéng	khả năng	có thể/khả năng/khả thi/thực hiện được/làm được/có lẽ/hoặc giả/chắc là
12	47	470.89	东西	東西	dōngxī	đông tây	đồ vật này nọ/đông tây/phía đông và phía tây/từ đông sang tây/đồ/vật/thứ/đồ đạc/đồ vật đồ
13	48	467.23	北京	北京	běijīng	bắc kinh	Bắc Kinh/Beijing
14	52	439.7	地方	地方	dìfāng	địa phương	địa phương/chỗ/bản xứ/bản địa/nơi ấy/chốn ấy/nơi/vùng/miền bộ phận/phần
15	54	435.13	非常	非常	fēicháng	phi thường	phi thường/đặc biệt/bất thường/không bình thường/rất/vô cùng/cực kỳ/hết sức
16	55	434.38	发现	發現	fāxiàn	phát hiện	phát hiện/tìm ra/tìm tòi/phát giác/cảm thấy
17	56	428.48	不过	不過	bùguò	bất quá	bất quá/cực kỳ/hết mức/nhất trên đời/hơn hết/vừa mới/vừa/chỉ/chẳng qua/chỉ vì/chỉ có/nhưng/nhưng mà/có điều là/song/chỉ có điều
18	60	417.63	世界	世界	shìjiè	thế giới	thế giới/vũ trụ/trái đất/thời buổi
19	62	410.19	一定	一定	yīdìng	nhất định	nhất định/chính xác/quy định/tất nhiên/cần phải/chắc chắn/riêng
20	64	405.86	进行	進行	jìnxíng	tiến hành	tiến hành/làm/tiến lên/tiến tới/tiến lên phía trước
21	69	391.68	朋友	朋友	péngyǒu	bằng hữu	bằng hữu/bạn bè/bạn/người yêu
22	70	389.11	国家	國家	guójiā	quốc gia	quốc gia/nhà nước/đất nước/lãnh thổ
23	72	387.14	所有	所有	suǒyǒu	sở hữu	tất cả/sở hữu/vật sở hữu/hết thảy/toàn bộ
24	73	382.93	个人	個人	gèrén	cá nhân	cá nhân/người/riêng tôi/cá nhân tôi
25	74	377.52	发展	發展	fāzhǎn	phát triển	phát triển/mở rộng/khuếch trương
26	75	374.82	最后	最後	zùihòu	tối hậu	cuối cùng/tối hậu/sau cùng
27	79	365.5	电话	電話	diànhuà	điện thoại	điện thoại/máy điện thoại/dây nói
28	82	363.35	学习	學習	xuéxí	học tập	học tập/học
29	86	347.8	当时	當時	dāngshí	đương thời	lúc ấy/lúc đó/khi đó/đương thời/lập tức/liền/ngay lúc đó/ngay lúc ấy
30	87	344.15	情况	情況	qíngkuàng	tình huống	tình huống/tình hình
31	89	343.32	社会	社會	shèhùi	xã hội	xã hội/hình thái xã hội
32	91	339.89	希望	希望	xīwàng	hy vọng	hy vọng/mong muốn/ước ao/mong/ý muốn/ước muốn/nguyện vọng/niềm hi vọng/mong ngóng
33	93	331.77	感觉	感覺	gǎnjué	cảm giác	cảm giác/cảm thấy/cho rằng
34	95	331.28	女人	女人	nv̌rén	nữ nhân	nữ nhân/phụ nữ/đàn bà/vợ
35	96	326.67	第二	第二	dìèr	đệ nhị	đệ nhị/thứ hai
36	97	325.21	其实	其實	qíshí	kỳ thật	kỳ thật/kỳ thực/thực ra
37	98	325.1	事情	事情	shìqíng	sự tình	sự tình/chuyện/sự việc
38	104	303.44	过去	過去	guòqù	quá khứ	quá khứ/đi tới/đã qua/trước đây/đi qua/qua/mất/chết/tạ thế
39	106	299.29	教育	教育	jiàoyù	giáo dục	giáo dục/đào tạo/dạy dỗ/dạy bảo/chỉ dẫn/chỉ thị/dạy
40	108	296.8	文化	文化	wénhuà	văn hóa	văn hóa/văn hoá
41	109	293.61	特别	特別	tèbié	đặc biệt	đặc biệt/vô cùng/rất/riêng biệt/chuyên biệt/càng/nhất là
42	111	289.96	当然	當然	dāngrán	đương nhiên	đương nhiên/nên như thế/phải thế/tất nhiên/dĩ nhiên
43	112	289.89	要求	要求	yàoqíu	yêu cầu	yêu cầu/đòi hỏi/hi vọng/nguyện vọng
44	115	283.2	不同	不同	bùtóng	bất đồng	bất đồng/khác nhau/khác biệt
45	116	280.62	出现	出現	chūxiàn	xuất hiện	xuất hiện/nảy sinh/ló ra/nổi lên/hiện ra
46	117	279.59	重要	重要	zhòngyào	trọng yếu	trọng yếu/quan trọng
47	118	279.48	通过	通過	tōngguò	thông qua	thông qua/đi qua/qua
48	119	279.16	市场	市場	shìcháng	thị trường	thị trường/chợ
49	120	278.73	日本	日本	rìběn	nhật bản	Nhật Bổn/Nhật bản
50	124	273.66	英语	英語	yīngyǔ	anh ngữ	tiếng Anh/Anh ngữ/Anh văn
51	125	271.66	一切	一切	yīqiē	nhất thiết	hết thảy/tất cả/mọi/mọi thứ/toàn bộ/nhất thiết/hết thẩy
52	126	269.91	活动	活動	huódòng	hoạt động	hoạt động/chuyển động/vận động/theo mục đích/vì mục đích nào đó/hành động có mục đích/lay động/lung lay/không ổn định/đung đưa/lắc lư/linh hoạt/di động/không cố định/sinh hoạt/chạy chọt/đút lót/mua chuộc
53	128	268.61	大学	大學	dàxué	đại học	đại học
54	129	267.09	主要	主要	zhǔyào	chủ yếu	chủ yếu/chính
55	130	266.28	经济	經濟	jīngjì	kinh tế	kinh tế/lợi hại/mức sống/đời sống/tiết kiệm/đỡ tốn kém/hạn chế/trị nước/trị quốc
56	131	265.54	同时	同時	tóngshí	đồng thời	đồng thời/song song/trong khi/cùng lúc/hơn nữa
57	132	265.42	研究	研究	yánjīu	nghiên cứu	nghiên cứu/tìm tòi học hỏi
58	133	264.11	关系	關係	guānxì	quan hệ	quan hệ/liên quan/liên quan đến/quan hệ đến/quan trọng/hệ trọng/nguyên nhân/điều kiện/giấy chứng nhận/liên hệ/quan hệ tới
59	138	257.68	作者	作者	zuòzhě	tác giả	tác giả/tác gia
60	140	255.71	发生	發生	fāshēng	phát sinh	phát sinh/sinh ra/xảy ra/sản sinh/phôi thai/trứng phát triển
61	141	254.63	评论	評論	pínglùn	bình luận	bình luận/nhận xét/bài bình luận
62	143	254.2	企业	企業	qǐyè	xí nghiệp	xí nghiệp
63	144	254.05	方面	方面	fāngmiàn	phương diện	phương diện/mặt/phía
64	145	252.86	电影	電影	diànyǐng	điện ảnh	điện ảnh/phim/chiếu bóng
65	148	248.2	上海	上海	shànghǎi	thượng hải	Thượng Hải/thành phố Thượng Hải
66	149	247.87	城市	城市	chéngshì	thành thị	thành thị/đô thị/thành phố
67	151	244.47	使用	使用	shǐyòng	sử dụng	sử dụng/dùng
68	152	244.28	发表	發表	fābiǎo	phát biểu	phát biểu/tuyên bố/công bố/nói/đăng/đăng tải
69	153	243.38	甚至	甚至	shénzhì	thậm chí	thậm chí/ngay cả/đến nỗi
70	154	241.01	准备	準備	zhǔnbèi	chuẩn bị	chuẩn bị/dự định/định/định bụng
71	159	239.06	先生	先生	xiānshēng	tiên sinh	tiên sinh/thầy/thầy giáo/ngài/chồng/thầy thuốc/ông lang/thầy ký/tài phú/thầy bói
72	162	237.82	结果	結果	jiéguǒ	kết quả	kết quả/ra quả/ra trái/rút cuộc/thành quả/hậu quả/tác động/kết liễu/giết/xử
73	164	234.2	管理	管理	guǎnlǐ	quản lý	quản lý/phụ trách/trông nom/bảo quản và sắp xếp/trông coi
74	165	234.01	突然	突然	tūrán	đột nhiên	đột nhiên/bỗng nhiên/bất thình lình/chợt
75	166	230.59	选择	選擇	xuǎnzé	tuyển trạch	lựa chọn/tuyển trạch/tuyển chọn
76	167	228.87	回复	回復	húifù	hồi phục	hồi phục/trả lời/phúc đáp/hồi âm/phục hồi/khôi phục
77	169	228.33	父亲	父親	fùqīn	phụ thân	phụ thân/bố/cha/ba
78	172	226.59	声音	聲音	shēngyīn	thanh âm	thanh âm/âm thanh/tiếng tăm/tiếng động
79	175	223.22	内容	內容	nèiróng	nội dung	nội dung
80	176	221.99	完全	完全	wánquán	hoàn toàn	hoàn toàn/đầy đủ/trọn vẹn
81	178	220.78	文章	文章	wénzhāng	văn chương	văn vẻ/văn chương/bài văn/bài báo/tác phẩm/ẩn ý/ngụ ý/biện pháp/cách làm
82	179	220.23	人员	人員	rényuán	nhân viên	nhân viên/công chức
83	181	219.81	参加	參加	cānjiā	tham gia	tham gia/gia nhập/tham dự/dự/đề xuất/đưa ra/cho/góp
84	185	216.27	历史	歷史	lìshǐ	lịch sử	lịch sử/trong lịch sử/ghi chép những sự việc đã qua/môn lịch sử/lịch sử học
85	186	215.99	母亲	母親	mǔqīn	mẫu thân	mẫu thân/mẹ/má/me/u
86	194	209.72	继续	繼續	jìxù	kế tục	tiếp tục/kế tục/kéo dài/kế thừa/tiếp nối
87	195	209.43	影响	影響	yǐngxiǎng	ảnh hưởng	ảnh hưởng/bị ảnh hưởng/chịu ảnh hưởng/vô căn cứ/đồn đại
88	196	209.02	服务	服務	fúwù	phục vụ	phục vụ/phụng sự
89	199	208.52	决定	決定	juédìng	quyết định	quyết định/định đoạt/việc quyết định/tác dụng chủ đạo
90	200	208.42	方式	方式	fāngshì	phương thức	phương thức/cách thức/cách/kiểu
91	204	204.64	表示	表示	biǎoshì	biểu thị	tỏ vẻ/biểu thị/bày tỏ/tỏ ý/ngỏ lời/có ý nghĩa/biểu hiện/chứng tỏ/dấu hiệu/tỏ
92	210	199.82	国际	國際	guójì	quốc tế	quốc tế
93	213	198.21	专业	專業	zhuānyè	chuyên nghiệp	chuyên nghiệp/môn/bộ môn/chuyên ngành
94	221	192.09	包括	包括	bāokuò	bao quát	chính là/bao quát/bao gồm/gồm/có/gồm có/tính đến/kể cả/chất chứa
95	223	191.54	离开	離開	líkāi	ly khai	rời đi/ly khai/rời khỏi/tách khỏi
96	225	190.2	介绍	介紹	jièshào	giới thiệu	giới thiệu/mở đầu/đưa vào/truyền vào/hiểu rõ/nắm được/rành/quen thuộc/nắm rành
97	226	190.05	认识	認識	rènshì	nhận thức	nhận thức/biết/nhận biết
98	227	189.18	爸爸	爸爸	bàbà	ba ba	ba ba
99	232	185.58	精神	精神	jīngshén	tinh thần	tinh thần/nghị lực/sinh lực/tôn chỉ/ý nghĩa chủ yếu/sức sống/hoạt bát/sôi nổi/nhanh nhẹn/linh lợi
100	233	185.29	不好	不好	bùhǎo	bất hảo	không tốt/bất hảo
101	234	185.26	组织	組織	zǔzhī	tổ chức	tổ chức/hệ thống/quan hệ phối hợp/kiểu sợi/hệ/bộ phận
102	235	185.13	音乐	音樂	yīnlè	âm nhạc	âm nhạc
103	236	184.58	能力	能力	nénglì	năng lực	năng lực/khả năng
104	238	183.91	机会	機會	jīhùi	cơ hội	cơ hội/dịp/thời cơ
105	240	183.71	注意	注意	zhùyì	chú ý	chú ý
106	246	179.95	方法	方法	fāngfǎ	phương pháp	phương pháp/cách/cách thức
107	249	178.67	联系	聯繫	liánxì	liên hệ	liên hệ/liên lạc/gắn liền
108	250	178.31	原因	原因	yuányīn	nguyên nhân	nguyên nhân
109	254	177.01	明白	明白	míngbái	minh bạch	hiểu được/minh bạch/hiểu/rõ ràng/dễ hiểu/công khai/nói thẳng/thông minh/hiểu biết/khôn ngoan/biết lẽ phải/biết
110	257	172.67	产品	產品	chǎnpǐn	sản phẩm	sản phẩm
111	258	172.6	真正	真正	zhēnzhèng	chân chính	chân chính/chính thức/thật sự/chính xác/xác thực
112	259	172.51	过程	過程	guòchéng	quá trình	quá trình
113	263	170.06	自然	自然	zìrán	tự nhiên	tự nhiên/thiên nhiên/giới tự nhiên/tự do phát triển/đương nhiên/hiển nhiên
114	264	169.82	经过	經過	jīngguò	kinh qua	trải qua/kinh qua/đi qua/qua/đã được/quá trình/tiến trình/dòng
115	267	168.36	政府	政府	zhèngfǔ	chính phủ	chính phủ/chính quyền/nhà nước
116	268	168.22	身体	身體	shēntǐ	thân thể	thân thể/cơ thể
117	269	167.27	环境	環境	huánjìng	hoàn cảnh	hoàn cảnh/môi trường/cảnh vật chung quanh/điều kiện
118	272	165.5	衣服	衣服	yīfú	y phục	quần áo/y phục
119	277	162.97	台湾	臺灣	táiwān	đài loan	Đài Loan/Taiwan
120	279	162.0	人民	人民	rénmín	nhân dân	nhân dân/đồng bào
121	280	161.85	成功	成功	chénggōng	thành công	thành công/thịnh vượng
122	283	160.43	系统	系統	xìtǒng	hệ thống	hệ thống/có hệ thống/có quy củ/có ngăn nắp
123	288	159.55	直接	直接	zhíjiē	trực tiếp	trực tiếp/thẳng
124	291	159.26	解决	解決	jiějué	giải quyết	giải quyết/dàn xếp/tháo gỡ/thu xếp/tiêu diệt/thủ tiêu
125	294	158.11	根本	根本	gēnběn	căn bản	căn bản/gốc rễ/cội nguồn/hoàn toàn/triệt để/chủ yếu/trọng yếu/từ trước đến giờ/trước giờ/vốn/xưa nay/trước sau/từ đầu đến cuối/tuyệt nhiên/không hề/tận gốc
126	297	156.76	父母	父母	fùmǔ	phụ mẫu	cha mẹ/phụ mẫu/ba má
127	299	155.36	肯定	肯定	kěndìng	khẳng định	khẳng định/dám chắc/quả quyết/thừa nhận/chấp nhận/đúng/tán thành/nhất định/không nghi ngờ/chắc chắn/xác định/rõ ràng
128	300	155.22	作品	作品	zuòpǐn	tác phẩm	tác phẩm
129	301	154.74	全国	全國	quánguó	toàn quốc	cả nước/toàn quốc/bảo toàn lãnh thổ/toàn vẹn lãnh thổ
130	307	152.56	国内	國內	guónèi	quốc nội	quốc nội/trong nước
131	309	152.14	设计	設計	shèjì	thiết kế	thiết kế/trù tính
132	316	150.64	政治	政治	zhèngzhì	chính trị	chính trị
133	317	150.33	才能	才能	cáinéng	tài năng	mới có thể/tài năng/năng lực/khả năng/tài cán
134	319	149.76	存在	存在	cúnzài	tồn tại	tồn tại/còn/có thật/thực sự/đã sống/vật chất/sự sống/sự tồn tại/sinh kế
135	320	149.13	第三	第三	dìsān	đệ tam	đệ tam/thứ ba
136	324	148.77	根据	根據	gēnjù	căn cứ	căn cứ/căn cứ vào/dựa vào/chứng cứ/luận cứ
137	326	147.86	女儿	女兒	nv̌ér	nữ nhi	nữ nhân/nữ nhi/con gái
138	327	147.73	左右	左右	zuǒyòu	tả hữu	tả hữu/hai bên/trái và phải/xung quanh/tuỳ tùng/người đi theo/chi phối/thao túng/khoảng/chừng/vào khoảng/trên dưới/dù sao cũng/dù sao đi nữa
139	328	147.52	生命	生命	shēngmìng	sinh mệnh	sinh mệnh/tính mệnh/mạng sống
140	330	147.15	代表	代表	dàibiǎo	đại biểu	đại biểu/đại diện/tiêu biểu/thay mặt
141	335	144.08	高兴	高興	gāoxīng	cao hứng	cao hứng/vui vẻ/vui mừng/phấn chấn/thích
142	336	143.89	永远	永遠	yǒngyuǎn	vĩnh viễn	vĩnh viễn/mãi mãi/luôn
143	337	143.69	知识	知識	zhīshì	tri thức	tri thức/kiến thức/sự hiểu biết/trí thức
144	339	142.85	医院	醫院	yìyuàn	y viện	bệnh viện/y viện/nhà thương
145	341	142.33	思想	思想	sīxiǎng	tư tưởng	tư tưởng/ý nghĩ/suy nghĩ
146	342	142.19	相关	相關	xiāngguān	tương quan	tương quan/liên quan
147	344	141.67	理解	理解	lǐjiě	lý giải	lý giải/hiểu/đã thông
148	345	141.31	教师	教師	jiàoshī	giáo sư	giáo sư/giáo viên
149	350	140.19	安全	安全	ānquán	an toàn	an toàn
150	351	139.71	全部	全部	quánbù	toàn bộ	toàn bộ/tất cả
151	352	139.59	自由	自由	zìyóu	tự do	tự do
152	353	139.25	努力	努力	nǔlì	nỗ lực	cố gắng/nỗ lực/gắng sức
153	354	138.97	家庭	家庭	jiātíng	gia đình	gia đình
154	356	137.96	部分	部分	bùfēn	bộ phận	bộ phận/phần/tập/khu/phần chia/một số cá thể
155	357	137.64	表现	表現	biǎoxiàn	biểu hiện	biểu hiện/thể hiện/phô bày/tỏ ra/xử sự/cách ăn ở/cư xử/đối xử
156	358	137.51	规定	規定	gūidìng	quy định	quy định/nội dung đã định
157	359	136.99	意思	意思	yìsī	ý tứ	ý tứ/ỵ́/ý nghĩa/ý kiến/nguyện vọng/tấm lòng/thơm thảo/khao/thưởng cho/chiều hướng/xu hướng/thú vị/hứng thú
158	360	136.97	提高	提高	tígāo	đề cao	đề cao/nâng cao
159	364	136.64	时代	時代	shídài	thời đại	thời đại/thời kì/lúc/độ tuổi
160	365	136.44	完成	完成	wánchéng	hoàn thành	hoàn thành
161	366	135.89	计划	計劃	jìhuá	kế hoạch	kế hoạch/lập kế hoạch/tính toán/vạch kế hoạch
162	373	132.8	基本	基本	jīběn	cơ bản	cơ bản/căn bản/nền tảng/chính/chủ yếu/cốt lõi/đại thể
163	375	132.72	爱情	愛情	àiqíng	ái tình	tình yêu/ái tình
164	376	131.35	年代	年代	niándài	niên đại	niên đại/thời đại/thời kỳ/những năm tháng/thập kỷ/những năm
165	377	130.73	英国	英國	yīngguó	anh quốc	Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
166	380	129.83	结束	結束	jiéshù	kết thúc	chấm dứt/kết thúc/hết/kết liễu/thắt/tết/trang điểm
167	381	129.73	标准	標準	biāozhǔn	tiêu chuẩn	tiêu chuẩn/mẫu mực/đúng chuẩn/chuẩn mực/chuẩn/mực thước
168	382	129.11	资料	資料	zīliào	tư liệu	tư liệu/tài liệu
